symbol,ex_date,amount_per_unit,distribution_type,notes
MINDSPACE,2024-08-02,5.04,dividend,Yahoo Finance chart dividend event (MINDSPACE.NS)
MINDSPACE,2024-10-30,5.15,dividend,Yahoo Finance chart dividend event (MINDSPACE.NS)
MINDSPACE,2025-01-29,5.32,dividend,Yahoo Finance chart dividend event (MINDSPACE.NS)
MINDSPACE,2025-05-06,6.44,dividend,Yahoo Finance chart dividend event (MINDSPACE.NS)
MINDSPACE,2025-08-07,5.79,dividend,Yahoo Finance chart dividend event (MINDSPACE.NS)
MINDSPACE,2025-11-07,5.83,dividend,Yahoo Finance chart dividend event (MINDSPACE.NS)
MINDSPACE,2026-01-30,5.83,dividend,Yahoo Finance chart dividend event (MINDSPACE.NS)
MINDSPACE,2026-05-05,6.64,dividend,Yahoo Finance chart dividend event (MINDSPACE.NS)
MINDSPACE,2026-08-07,6.67,dividend,Yahoo Finance chart dividend event (MINDSPACE.NS)
NXST,2023-11-17,2.98,dividend,Yahoo Finance chart dividend event (NXST.NS)
NXST,2024-02-14,2,dividend,Yahoo Finance chart dividend event (NXST.NS)
NXST,2024-05-17,2.091,dividend,Yahoo Finance chart dividend event (NXST.NS)
NXST,2024-08-07,2.147,dividend,Yahoo Finance chart dividend event (NXST.NS)
NXST,2024-11-21,2.007,dividend,Yahoo Finance chart dividend event (NXST.NS)
NXST,2025-02-07,2.196,dividend,Yahoo Finance chart dividend event (NXST.NS)
NXST,2025-05-16,2,dividend,Yahoo Finance chart dividend event (NXST.NS)
NXST,2025-08-04,2.23,dividend,Yahoo Finance chart dividend event (NXST.NS)
NXST,2025-11-10,2.198,dividend,Yahoo Finance chart dividend event (NXST.NS)
NXST,2026-02-05,2.367,dividend,Yahoo Finance chart dividend event (NXST.NS)
NXST,2026-05-15,2.286,dividend,Yahoo Finance chart dividend event (NXST.NS)
NXST,2026-08-06,2.442,dividend,Yahoo Finance chart dividend event (NXST.NS)
PGINVIT,2021-11-12,4.5,dividend,Yahoo Finance chart dividend event (PGINVIT.NS)
PGINVIT,2022-02-02,3,dividend,Yahoo Finance chart dividend event (PGINVIT.NS)
PGINVIT,2022-05-31,3,dividend,Yahoo Finance chart dividend event (PGINVIT.NS)
PGINVIT,2022-08-01,3,dividend,Yahoo Finance chart dividend event (PGINVIT.NS)
PGINVIT,2022-11-14,3,dividend,Yahoo Finance chart dividend event (PGINVIT.NS)
PGINVIT,2023-01-27,3,dividend,Yahoo Finance chart dividend event (PGINVIT.NS)
PGINVIT,2023-01-30,3,dividend,Yahoo Finance chart dividend event (PGINVIT.NS)
