symbol,ex_date,amount_per_unit,distribution_type,notes
LIQUIDBEES,2016-08-31,3.417821,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2016-09-30,3.291529,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2016-10-31,3.453568,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2016-11-30,3.251197,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2016-12-30,3.237,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2017-01-31,3.428259,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2017-02-28,2.884168,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2017-03-31,3.126635,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2017-04-28,2.88761,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2017-05-31,3.447457,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2017-06-30,3.196446,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2017-07-31,3.32258,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2017-08-31,3.174125,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2017-09-29,2.96069,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2017-10-31,3.229655,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2017-11-30,3.13286,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2017-12-31,3.276715,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2018-01-31,3.219944,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2018-02-28,2.926727,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2018-03-31,3.312574,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2018-04-29,3.067041,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2018-05-31,3.364156,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2018-06-29,3.129243,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2018-07-31,3.531108,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2018-08-31,3.543162,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2018-09-30,3.40081,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2018-10-31,3.496305,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2018-11-30,3.418373,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2018-12-31,3.54574,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2019-01-31,3.51772,dividend,Yahoo Finance chart dividend event
